"weight" "state" "age" "gender" "vote" "unit"
3546.0012 12 2 2 2 0
3405.4663 12 2 1 2 0
3467.1317 12 2 2 2 0
3481.1316 12 1 1 2 0
3175.4046 12 1 2 2 0
3380.0495 12 2 2 NA 0
3380.0495 12 2 2 NA 0
3577.3599 12 1 1 2 0
3698.8461 12 1 1 2 0
3825.4785 12 1 2 2 0
5038.6073 12 0 2 1 0
3439.2262 12 2 1 2 0
3713.6909 12 1 2 1 0
3638.3827 12 0 2 1 0
3384.5293 12 3 1 2 0
3404.0186 12 3 2 2 0
3140.6499 12 3 1 2 0
3412.1834 12 3 2 2 0
3368.6758 12 2 1 1 0
3191.4965 12 2 1 2 0
3488.9409 12 3 1 2 0
3731.1444 12 1 1 2 0
3100.6095 12 2 1 2 0
4282.5984 12 1 2 2 0
3368.3416 12 0 1 2 0
3289.6476 12 2 2 2 0
3090.2597 12 1 1 2 0
4203.7442 12 0 2 2 0
3490.5745 12 2 1 2 0
3293.7504 12 2 1 2 0
3363.985 12 2 1 NA 0
4042.836 12 1 2 2 0
3267.6573 12 0 1 2 0
3505.0353 12 1 1 NA 0
3256.1907 12 1 2 NA 0
3254.553 12 0 2 2 0
3505.0353 12 1 1 1 0
3182.1659 12 NA 2 NA 0
3182.1659 12 NA 2 NA 0
4466.6975 12 2 2 2 0
5277.4047 12 0 1 2 0
4240.3554 12 2 1 2 0
3801.1551 12 2 2 2 0
3053.0229 12 2 2 2 0
3317.4477 12 1 1 1 0
3816.9277 12 1 1 2 0
3568.421 12 1 2 2 0
3254.0594 12 1 2 2 0
3494.5087 12 1 1 1 0
3376.185 12 3 1 2 0
3340.888 12 2 1 2 0
3402.2687 12 2 1 2 0
3653.4267 12 2 2 2 0
3840.1107 12 0 2 1 0
3568.421 12 1 2 NA 0
3501.1731 12 2 1 NA 0
4303.5708 12 1 1 2 0
3748.8213 12 3 2 2 0
6012.4809 12 0 1 2 0
3716.6106 12 2 2 2 0
5639.0755 12 0 2 1 0
3412.1834 12 3 2 2 0
3140.6499 12 3 1 2 0
2975.7017 12 1 2 2 0
3250.7426 12 3 2 2 0
3834.2496 12 2 1 NA 0
3449.1656 12 2 2 NA 0
3141.1639 12 2 2 2 0
3816.9277 12 1 1 2 0
3816.9277 12 1 1 2 0
3449.4849 12 2 1 2 0
3005.1413 12 2 2 2 0
4396.9359 12 1 2 NA 0
3513.9246 12 1 2 2 0
4721.3264 12 2 1 NA 0
5633.7806 12 0 2 1 0
3485.6649 12 NA 1 NA 0
3379.0344 12 NA 2 NA 0
3113.0533 12 1 2 2 0
3046.054 12 2 2 NA 0
3719.8085 12 2 2 2 0
3983.2351 12 0 2 2 0
4230.9575 12 1 1 2 0
3458.0996 12 1 2 1 0
3900.1957 12 3 2 1 0
4226.9848 12 1 1 NA 0
4506.0645 12 0 2 2 0
3454.8892 12 2 2 2 0
3146.0378 12 2 1 2 0
3471.7388 12 1 2 NA 0
3191.4517 12 2 1 NA 0
3328.3071 12 3 2 2 0
3405.4663 12 2 1 2 0
6006.8354 12 0 1 1 0
3900.2368 12 1 2 1 0
3073.4957 12 3 1 2 0
3368.375 12 3 2 2 0
3309.5598 12 NA 1 NA 0
3172.423 12 NA 2 NA 0
3140.6499 12 3 1 2 0
3994.3818 12 1 1 2 0
3381.5852 12 3 2 2 0
3626.2882 12 2 2 2 0
4085.245 12 1 1 2 0
4821.6369 12 0 2 2 0
3678.5372 12 1 1 2 0
3423.8177 12 2 1 2 0
3427.0355 12 NA 1 NA 0
3550.8103 12 1 2 NA 0
4894.4987 12 1 1 NA 0
3395.8471 12 NA 1 NA 0
3220.6272 12 2 1 2 0
3558.6245 12 2 2 2 0
3393.4124 12 1 2 2 0
3296.4349 12 2 2 2 0
3629.4717 12 1 2 1 0
3452.4073 12 2 2 2 0
3837.8532 12 2 1 2 0
3990.6312 12 1 1 2 0
4609.1531 12 1 1 2 0
5551.9163 12 1 1 NA 0
3938.5569 12 1 2 1 0
3330.5657 12 2 2 2 0
3373.4832 12 0 2 2 0
3669.0056 12 0 2 1 0
4078.3795 12 1 2 NA 0
4612.8987 12 0 2 1 0
5070.0426 12 0 1 1 0
3209.5994 12 3 1 2 0
3324.6897 12 3 2 2 0
3458.5086 12 3 2 2 0
3541.47 12 2 2 2 0
3925.1558 12 2 1 2 0
5320.1898 12 0 1 2 0
3657.6082 12 1 1 2 0
3565.0704 12 1 2 2 0
3040.9553 12 1 2 2 0
5902.48 12 0 1 1 0
3678.5372 12 1 1 2 0
3396.828 12 2 1 2 0
3477.8629 12 1 1 2 0
3247.6902 12 3 2 1 0
3135.2654 12 3 1 1 0
3368.6758 12 2 1 2 0
3234.0363 12 2 2 2 0
4451.1818 12 0 2 2 0
4449.6593 12 1 2 NA 0
3411.1499 12 2 1 2 0
3942.2585 12 1 2 2 0
4714.395 12 0 2 2 0
3994.3818 12 1 1 2 0
3343.3139 12 3 1 NA 0
3073.5015 12 2 2 1 0
3102.3761 12 2 1 2 0
3195.9029 12 2 2 2 0
2855.7068 12 3 1 NA 0
3289.6476 12 2 2 NA 0
3318.1579 12 2 1 NA 0
5274.0141 12 0 1 NA 0
5563.0233 12 NA 1 NA 0
4607.2704 12 1 1 1 0
3703.6629 12 0 2 1 0
3411.1499 12 2 1 2 0
3420.2081 12 0 1 2 0
4142.1493 12 2 1 2 0
3146.0378 12 2 1 2 0
3449.1656 12 2 2 2 0
3221.1137 12 2 2 2 0
3180.9275 12 2 1 2 0
3290.3312 12 0 1 2 0
3115.3449 12 2 2 2 0
3504.9929 12 2 1 2 0
2709.0941 12 NA 2 NA 0
3250.7426 12 NA 2 NA 0
3396.5454 12 2 2 2 0
3910.2696 12 1 2 2 0
3379.0344 12 3 2 2 0
3536.9259 12 1 1 NA 0
3900.1957 12 3 2 NA 0
3942.2585 12 1 2 2 0
3331.2098 12 1 2 2 0
3568.3064 12 3 1 2 0
3568.3064 12 3 1 2 0
3456.3977 12 NA 1 NA 0
3306.8286 12 NA 2 NA 0
3405.4663 12 2 1 2 0
3903.5695 12 1 2 2 0
3302.8017 12 3 1 2 0
3188.6805 12 2 2 2 0
3102.8278 12 2 1 2 0
3416.9967 12 0 1 1 0
3423.8591 12 1 1 NA 0
3996.1191 12 1 2 2 0
4240.3554 12 2 1 1 0
5277.4047 12 0 1 1 0
3043.3923 12 NA 2 NA 0
3568.616 12 2 1 2 0
3484.5371 12 2 2 2 0
3463.8762 12 2 2 2 0
3472.787 12 2 1 2 0
3545.1598 12 2 1 2 0
3630.5202 12 2 2 NA 0
3161.5793 12 3 2 2 0
3234.2583 12 2 2 2 0
3984.6076 12 2 2 1 0
4712.2145 12 2 1 1 0
4898.9396 12 0 1 1 0
5217.5587 12 0 2 1 0
3367.0553 12 3 2 2 0
3686.3146 12 1 1 2 0
3882.4147 12 1 2 2 0
4894.4987 12 1 1 2 0
3450.6635 12 1 1 NA 0
3372.415 12 1 2 NA 0
3254.0594 12 NA 2 NA 0
3494.5087 12 NA 1 NA 0
3821.8865 12 1 2 1 0
5224.3261 12 0 1 1 0
3558.6245 12 2 2 NA 0
3652.8289 12 3 2 NA 0
3671.4952 12 3 1 NA 0
3896.0221 12 1 2 NA 0
3326.388 12 1 2 1 0
3626.2882 12 2 2 NA 0
3523.13 12 2 1 NA 0
3380.0495 12 2 2 1 0
4050.6719 12 1 1 2 0
3162.237 12 1 1 2 0
4300.2597 12 0 1 1 0
4416.1424 12 0 2 1 0
3368.6758 12 2 1 2 0
3557.9167 12 2 2 2 0
3462.7013 12 NA 2 NA 0
3257.1177 12 1 2 2 0
3635.8625 12 NA 2 NA 0
3497.8856 12 NA 1 NA 0
3369.2484 12 NA 2 NA 0
3369.2484 12 1 2 1 0
4143.6845 12 0 1 1 0
4143.6845 12 0 1 1 0
4807.6258 12 0 2 1 0
3367.0553 12 3 2 2 0
5756.9334 12 0 2 1 0
3159.1364 12 2 2 2 0
3290.6576 12 2 1 2 0
3462.063 12 NA 1 NA 0
3341.5847 12 3 2 2 0
3256.3441 12 2 1 2 0
3256.1499 12 2 2 2 0
2972.9077 12 1 2 2 0
3477.8629 12 1 1 2 0
3544.954 12 2 2 2 0
3221.1137 12 2 2 1 0
3333.6959 12 2 2 2 0
3376.6538 12 0 2 2 0
3698.8461 12 1 1 1 0
3631.0918 12 1 2 2 0
6104.3508 12 2 1 1 0
3230.2428 12 2 2 2 0
3405.4663 12 2 1 NA 0
3326.1246 12 2 2 2 0
4984.9916 12 0 2 1 0
3683.2838 12 0 2 NA 0
3568.8959 12 NA 1 NA 0
2855.7068 12 3 1 NA 0
4085.245 12 1 1 2 0
4031.936 12 1 2 2 0
3135.2654 12 3 1 1 0
3306.144 12 3 1 2 0
3325.1819 12 3 2 2 0
4010.0236 12 1 2 NA 0
3380.0495 12 2 2 2 0
4132.0411 12 0 1 1 0
3698.8461 12 1 1 2 0
3886.0636 12 1 2 1 0
4582.1428 12 1 1 NA 0
3821.8865 12 1 2 NA 0
3554.1182 12 0 2 NA 0
3369.2484 12 1 2 2 0
3465.3168 12 2 1 2 0
3257.1177 12 1 2 2 0
3172.423 12 1 2 1 0
3069.1676 12 3 1 2 0
3180.7379 12 2 2 2 0
3713.1208 12 2 2 2 0
3485.6649 12 2 1 2 0
3407.9716 12 1 2 2 0
3312.225 12 0 2 2 0
3141.1639 12 2 2 2 0
3439.2262 12 2 1 2 0
4363.2493 12 2 2 2 0
4136.7099 12 1 2 2 0
3183.7672 12 1 2 1 0
3091.2601 12 3 2 1 0
3634.5407 12 0 1 2 0
3179.1779 12 0 2 1 0
3678.5372 12 1 1 2 0
3314.8214 12 1 2 2 0
4078.3795 12 1 2 2 0
4822.6547 12 0 2 1 0
4555.6688 12 0 1 2 0
3090.2597 12 1 1 2 0
4169.9332 12 1 2 2 0
3315.338 12 NA 2 NA 0
3290.956 12 3 1 2 0
3378.41 12 3 2 2 0
4512.926 12 NA 2 NA 0
3422.5804 12 3 1 2 0
3484.5371 12 2 2 2 0
3829.5643 12 3 1 2 0
3002.3196 12 2 2 2 0
3879.8341 12 0 2 2 0
3773.7134 12 1 1 2 0
3974.4628 12 1 2 2 0
4473.1259 12 0 1 2 0
5070.0426 12 0 1 2 0
4612.8987 12 0 2 2 0
3411.1499 12 2 1 2 0
3487.8121 12 2 2 1 0
3698.8461 12 1 1 1 0
3631.0918 12 1 2 2 0
3370.2199 12 3 2 2 0
3090.2597 12 1 1 1 0
3557.9167 12 2 2 2 0
3325.1819 12 3 2 2 0
3428.7174 12 NA 2 NA 0
3254.553 12 NA 2 NA 0
3315.338 12 0 2 2 0
3603.2733 12 2 1 NA 0
3393.4124 12 1 2 NA 0
4249.3954 12 1 1 2 0
3209.5994 12 3 1 2 0
5423.3346 12 1 1 2 0
6006.8354 12 0 1 2 0
3527.5602 12 2 1 NA 0
3476.2072 12 2 2 NA 0
3519.8219 12 2 1 NA 0
3183.9171 12 2 1 2 0
3183.7273 12 2 2 2 0
3622.8832 12 2 2 2 0
3422.5804 12 3 1 1 0
4101.2426 12 1 2 2 0
4085.245 12 1 1 2 0
3454.8892 12 NA 2 NA 0
3146.0378 12 NA 1 NA 0
4369.5289 12 NA 1 NA 0
3073.4957 12 3 1 2 0
3234.1708 12 1 1 2 0
3882.4147 12 1 2 2 0
3907.2382 12 1 2 2 0
3482.933 12 2 1 2 0
3180.7777 12 1 2 2 0
3309.5598 12 1 1 1 0
3088.3575 12 3 2 2 0
4068.9017 12 3 2 2 0
3506.0641 12 3 1 2 0
3175.4046 12 1 2 2 0
3481.1316 12 1 1 2 0
3328.3071 12 3 2 2 0
3254.553 12 0 2 2 0
3505.0353 12 1 1 2 0
4082.9753 12 1 1 1 0
3466.9067 12 1 2 1 0
3069.7107 12 1 2 2 0
4874.1165 12 0 2 2 0
3254.0594 12 1 2 2 0
3494.5087 12 1 1 2 0
4869.5398 12 0 2 1 0
5054.2358 12 0 1 1 0
3459.4499 12 NA 2 NA 0
3627.6823 12 NA 2 NA 0
3708.7781 12 2 2 NA 0
4060.735 12 0 1 NA 0
3896.1358 12 2 1 NA 0
3814.4085 12 2 2 NA 0
5428.4317 12 1 1 NA 0
3090.2597 12 1 1 1 0
3286.0755 12 2 1 1 0
3221.1137 12 2 2 2 0
3546.0012 12 2 2 2 0
3482.933 12 2 1 2 0
3180.9275 12 2 1 2 0
3308.6191 12 3 2 2 0
2972.9077 12 1 2 2 0
3477.8629 12 1 1 2 0
3254.0594 12 NA 2 NA 0
3226.1706 12 NA 2 NA 0
3577.3599 12 1 1 2 0
3247.6379 12 1 2 2 0
3384.5293 12 3 1 2 0
3043.1938 12 2 2 2 0
3423.8177 12 2 1 2 0
3333.1576 12 3 2 1 0
3234.1708 12 1 1 2 0
2923.4127 12 2 1 2 0
3326.388 12 1 2 2 0
3486.2407 12 1 1 NA 0
3170.978 12 1 2 NA 0
4249.3954 12 1 1 1 0
4101.2426 12 1 2 2 0
3394.4237 12 2 2 2 0
4869.5398 12 0 2 2 0
3705.8761 12 0 1 2 0
3705.8761 12 0 1 2 0
3289.6476 12 2 2 2 0
3254.553 12 0 2 2 0
4586.4493 12 NA 1 NA 0
3847.4768 12 NA 2 NA 0
3368.9812 12 3 1 2 0
3474.902 12 2 2 2 0
3773.7134 12 1 1 2 0
4303.4107 12 0 2 1 0
3747.4442 12 0 1 1 0
3163.5266 12 1 1 2 0
4303.4107 12 0 2 1 0
5348.1895 12 0 1 1 0
3603.2733 12 2 1 NA 0
3708.7781 12 2 2 NA 0
3407.947 12 2 1 2 0
3367.0553 12 NA 2 NA 0
3540.8779 12 1 1 2 0
3369.2484 12 1 2 2 0
3463.8762 12 2 2 2 0
3472.787 12 2 1 2 0
3043.8134 12 1 2 2 0
3765.7516 12 1 1 2 0
3465.3168 12 2 1 2 0
2770.7199 12 2 2 2 0
3568.8959 12 1 1 1 0
2770.7199 12 2 2 2 0
3843.7199 12 0 2 1 0
3858.8937 12 0 1 1 0
5070.0426 12 0 1 1 0
5070.0426 12 0 1 1 0
3560.3195 12 1 1 1 0
3292.2417 12 2 2 1 0
3903.7542 12 1 1 1 0
3649.5945 12 1 2 1 0
3657.6082 12 1 1 2 0
3584.0319 12 0 2 2 0
3264.194 12 3 2 1 0
3544.954 12 2 2 2 0
3580.8169 12 2 1 2 0
3148.9946 12 2 1 2 0
4451.1818 12 0 2 2 0
3554.0502 12 1 2 2 0
4392.8073 12 NA 2 NA 0
3300.6822 12 NA 1 NA 0
3446.2459 12 NA 1 NA 0
3681.9945 12 1 1 1 0
3372.415 12 1 2 1 0
3294.049 12 3 1 NA 0
3067.9128 12 3 1 2 0
3090.2597 12 1 1 2 0
3316.0779 12 1 1 2 0
2907.1042 12 1 1 2 0
3565.0704 12 1 2 NA 0
3447.8096 12 0 2 1 0
4564.6716 12 0 2 2 0
3558.6245 12 2 2 2 0
3220.6272 12 2 1 2 0
3182.1659 12 0 2 1 0
3427.077 12 1 1 1 0
3530.9418 12 2 2 2 0
3088.3575 12 NA 2 NA 0
4085.245 12 1 1 1 0
4952.621 12 0 1 1 0
5096.3545 12 0 2 1 0
4203.7442 12 0 2 1 0
3540.8779 12 1 1 1 0
3314.8214 12 1 2 2 0
3519.8219 12 2 1 1 0
4792.7548 12 1 1 2 0
3568.616 12 2 1 1 0
3653.4267 12 2 2 1 0
3624.8285 12 1 1 2 0
3393.4124 12 1 2 2 0
3979.4949 12 0 2 2 0
3146.0378 12 2 1 1 0
3476.2072 12 2 2 2 0
3306.144 12 3 1 2 0
3230.2428 12 NA 2 NA 0
4299.5299 12 NA 1 NA 0
3086.6705 12 2 2 2 0
3877.5554 12 2 1 2 0
3925.1558 12 2 1 1 0
3397.6139 12 2 2 2 0
3458.1363 12 2 2 2 0
3458.1363 12 2 2 2 0
3530.8756 12 2 1 2 0
3346.4561 12 3 1 2 0
3370.2199 12 3 2 2 0
3624.8285 12 1 1 2 0
3449.1298 12 1 2 2 0
3466.309 12 2 1 2 0
3609.1317 12 3 2 2 0
3296.4349 12 2 2 NA 0
3420.097 12 2 1 NA 0
3381.8046 12 1 2 NA 0
3476.3591 12 3 1 2 0
3691.2313 12 3 2 2 0
3067.9128 12 3 1 NA 0
3333.1576 12 3 2 NA 0
3627.6823 12 NA 2 NA 0
3745.3013 12 3 2 NA 0
3316.0779 12 1 1 1 0
3344.0279 12 2 1 2 0
4496.9563 12 1 2 NA 0
4085.245 12 1 1 1 0
4101.2426 12 1 2 1 0
3681.9945 12 1 1 1 0
3423.8619 12 1 2 2 0
4203.7442 12 0 2 NA 0
3090.2597 12 1 1 NA 0
3990.4299 12 1 2 2 0
4154.8812 12 1 1 2 0
3488.7459 12 2 1 1 0
3343.3139 12 3 1 2 0
3221.1137 12 2 2 2 0
3547.4791 12 3 1 2 0
3416.9967 12 0 1 1 0
3179.1779 12 0 2 1 0
3536.8011 12 2 2 1 0
3314.8214 12 1 2 NA 0
3519.8219 12 2 1 NA 0
3462.8533 12 2 2 NA 0
3488.7459 12 2 1 2 0
3367.0553 12 NA 2 NA 0
3129.7956 12 3 1 2 0
4736.203 12 1 2 2 0
3773.7134 12 1 1 2 0
3910.2696 12 1 2 1 0
4821.6369 12 0 2 1 0
5719.1856 12 0 2 2 0
4139.7937 12 0 1 2 0
3394.4237 12 2 2 2 0
3452.4073 12 2 2 1 0
3002.3196 12 NA 2 NA 0
3446.2459 12 NA 1 NA 0
3478.7822 12 2 2 2 0
3709.359 12 0 1 2 0
5278.9709 12 0 1 2 0
3488.7459 12 2 1 2 0
4473.1259 12 0 1 NA 0
3974.4628 12 1 2 2 0
3715.6794 12 2 1 1 0
3462.8533 12 NA 2 NA 0
4586.4493 12 1 1 1 0
3847.4768 12 1 2 2 0
3420.2081 12 0 1 2 0
3182.1659 12 0 2 1 0
3182.1659 12 0 2 1 0
3609.1317 12 3 2 1 0
3837.8532 12 2 1 1 0
3974.4628 12 1 2 NA 0
3374.0551 12 2 2 1 0
3449.1298 12 1 2 NA 0
3950.3841 12 0 1 1 0
3002.3196 12 2 2 NA 0
3446.2459 12 2 1 NA 0
4540.2179 12 0 2 NA 0
3504.9929 12 2 1 2 0
3227.6834 12 2 1 2 0
3203.9838 12 1 1 2 0
3520.8775 12 1 2 1 0
3629.0325 12 1 2 2 0
3624.3898 12 1 1 2 0
3504.5687 12 2 1 2 0
3209.2109 12 3 1 2 0
3324.2873 12 3 2 2 0
4302.8899 12 0 2 2 0
3367.9339 12 0 1 1 0
3313.9074 12 0 1 2 0
3894.4634 12 0 2 2 0
3625.6324 12 2 2 2 0
3816.2374 12 1 1 2 0
3426.4573 12 1 1 NA 0
3389.1835 12 1 2 NA 0
3293.1547 12 2 1 1 0
3161.6652 12 1 1 1 0
3310.631 12 1 2 1 0
3568.1696 12 0 1 2 0
3378.9101 12 NA 1 NA 0
4052.8105 12 0 2 1 0
7319.9922 12 2 2 2 0
6315.3291 12 0 2 2 0
3488.3237 12 NA 1 NA 0
3566.7202 12 NA 2 NA 0
3590.9952 12 1 1 2 0
3511.8662 12 2 2 2 0
3293.6578 12 3 2 2 0
3712.4664 12 0 1 1 0
4503.3241 12 1 2 NA 0
3319.9651 12 1 1 2 0
3140.2698 12 3 1 2 0
