"","weight","state","age","gender","vote","unit"
"259",3462.063,12,2,1,1,0
"260",3422.5804,12,NA,1,NA,0
"261",3567.1519,12,NA,2,NA,0
"262",3925.1558,12,NA,1,NA,0
"263",3411.1499,12,2,1,2,0
"264",3462.7013,12,2,2,2,0
"265",3653.2242,12,2,1,2,0
"266",3546.0012,12,2,2,2,0
"267",3405.4663,12,2,1,2,0
"268",3467.1317,12,2,2,2,0
"269",3481.1316,12,1,1,2,0
"270",3175.4046,12,1,2,2,0
"271",3380.0495,12,2,2,NA,0
"272",3380.0495,12,2,2,NA,0
"273",3577.3599,12,1,1,2,0
"274",3698.8461,12,1,1,2,0
"275",3825.4785,12,1,2,2,0
"276",5038.6073,12,0,2,1,0
"277",3439.2262,12,2,1,2,0
"278",3713.6909,12,1,2,1,0
"279",3638.3827,12,0,2,1,0
"280",3384.5293,12,3,1,2,0
"281",3404.0186,12,3,2,2,0
"282",3140.6499,12,3,1,2,0
"283",3412.1834,12,3,2,2,0
"284",3368.6758,12,2,1,1,0
"285",3191.4965,12,2,1,2,0
"286",3488.9409,12,3,1,2,0
"287",3731.1444,12,1,1,2,0
"288",3100.6095,12,2,1,2,0
"289",4282.5984,12,1,2,2,0
"290",3368.3416,12,0,1,2,0
"291",3289.6476,12,2,2,2,0
"292",3090.2597,12,1,1,2,0
"293",4203.7442,12,0,2,2,0
"294",3490.5745,12,2,1,2,0
"295",3293.7504,12,2,1,2,0
"296",3363.985,12,2,1,NA,0
"297",4042.836,12,1,2,2,0
"298",3267.6573,12,0,1,2,0
"299",3505.0353,12,1,1,NA,0
"300",3256.1907,12,1,2,NA,0
"301",3254.553,12,0,2,2,0
"302",3505.0353,12,1,1,1,0
"303",3182.1659,12,NA,2,NA,0
"304",3182.1659,12,NA,2,NA,0
"305",4466.6975,12,2,2,2,0
"306",5277.4047,12,0,1,2,0
"307",4240.3554,12,2,1,2,0
"308",3801.1551,12,2,2,2,0
"309",3053.0229,12,2,2,2,0
"310",3317.4477,12,1,1,1,0
"311",3816.9277,12,1,1,2,0
"312",3568.421,12,1,2,2,0
"313",3254.0594,12,1,2,2,0
"314",3494.5087,12,1,1,1,0
"315",3376.185,12,3,1,2,0
"316",3340.888,12,2,1,2,0
"317",3402.2687,12,2,1,2,0
"318",3653.4267,12,2,2,2,0
"319",3840.1107,12,0,2,1,0
"320",3568.421,12,1,2,NA,0
"321",3501.1731,12,2,1,NA,0
"322",4303.5708,12,1,1,2,0
"323",3748.8213,12,3,2,2,0
"324",6012.4809,12,0,1,2,0
"325",3716.6106,12,2,2,2,0
"326",5639.0755,12,0,2,1,0
"327",3412.1834,12,3,2,2,0
"328",3140.6499,12,3,1,2,0
"329",2975.7017,12,1,2,2,0
"330",3250.7426,12,3,2,2,0
"331",3834.2496,12,2,1,NA,0
"332",3449.1656,12,2,2,NA,0
"333",3141.1639,12,2,2,2,0
"334",3816.9277,12,1,1,2,0
"335",3816.9277,12,1,1,2,0
"336",3449.4849,12,2,1,2,0
"337",3005.1413,12,2,2,2,0
"338",4396.9359,12,1,2,NA,0
"339",3513.9246,12,1,2,2,0
"340",4721.3264,12,2,1,NA,0
"341",5633.7806,12,0,2,1,0
"342",3485.6649,12,NA,1,NA,0
"343",3379.0344,12,NA,2,NA,0
"344",3113.0533,12,1,2,2,0
"345",3046.054,12,2,2,NA,0
"346",3719.8085,12,2,2,2,0
